id,name,score1,score2
1,Student_1,57,67
2,Student_2,92,72
3,Student_3,93,92
4,Student_4,61,74
5,Student_5,79,51
6,Student_6,66,60
7,Student_7,99,74
8,Student_8,78,50
9,Student_9,65,93
10,Student_10,87,50
11,Student_11,53,54
12,Student_12,66,56
13,Student_13,93,55
14,Student_14,78,68
15,Student_15,65,58
16,Student_16,77,79
17,Student_17,96,91
18,Student_18,69,70
19,Student_19,79,76
20,Student_20,91,98
21,Student_21,94,81
22,Student_22,73,71
23,Student_23,93,67
24,Student_24,75,85
25,Student_25,50,89
26,Student_26,94,56
27,Student_27,76,99
28,Student_28,70,80
29,Student_29,50,94
30,Student_30,61,52
31,Student_31,53,97
32,Student_32,87,52
33,Student_33,79,64
34,Student_34,72,99
35,Student_35,65,97
36,Student_36,62,75
37,Student_37,97,59
38,Student_38,83,73
39,Student_39,98,60
40,Student_40,85,93
41,Student_41,100,82
42,Student_42,87,61
43,Student_43,86,75
44,Student_44,60,72
45,Student_45,75,68
46,Student_46,69,90
47,Student_47,82,61
48,Student_48,83,83
49,Student_49,63,100
50,Student_50,60,58
51,Student_51,53,98
52,Student_52,69,50
53,Student_53,85,90
54,Student_54,86,65
55,Student_55,99,62
56,Student_56,50,65
57,Student_57,94,64
58,Student_58,99,81
59,Student_59,79,54
60,Student_60,59,99
61,Student_61,73,76
62,Student_62,62,77
63,Student_63,64,69
64,Student_64,54,89
65,Student_65,79,100
66,Student_66,69,73
67,Student_67,93,81
68,Student_68,72,94
69,Student_69,72,93
70,Student_70,82,88
71,Student_71,83,52
72,Student_72,80,76
73,Student_73,69,82
74,Student_74,99,85
75,Student_75,100,82
76,Student_76,67,67
77,Student_77,63,88
78,Student_78,91,55
79,Student_79,94,55
80,Student_80,99,59
81,Student_81,52,94
82,Student_82,61,70
83,Student_83,92,97
84,Student_84,74,78
85,Student_85,57,85
86,Student_86,59,67
87,Student_87,91,97
88,Student_88,96,70
89,Student_89,65,79
90,Student_90,87,63
91,Student_91,59,70
92,Student_92,54,88
93,Student_93,61,52
94,Student_94,53,66
95,Student_95,63,59
96,Student_96,83,61
97,Student_97,73,99
98,Student_98,97,55
99,Student_99,54,64
100,Student_100,52,53
101,Student_101,89,71
102,Student_102,50,93
103,Student_103,91,96
104,Student_104,87,67
105,Student_105,92,87
106,Student_106,65,63
107,Student_107,73,99
108,Student_108,72,56
109,Student_109,74,87
110,Student_110,91,81
111,Student_111,78,65
112,Student_112,100,100
113,Student_113,63,81
114,Student_114,59,74
115,Student_115,71,92
116,Student_116,62,92
117,Student_117,67,70
118,Student_118,88,99
119,Student_119,90,76
120,Student_120,86,60
121,Student_121,97,84
122,Student_122,75,77
123,Student_123,61,80
124,Student_124,65,54
125,Student_125,54,96
126,Student_126,50,72
127,Student_127,51,67
128,Student_128,66,85
129,Student_129,79,87
130,Student_130,78,79
131,Student_131,90,54
132,Student_132,89,88
133,Student_133,75,59
134,Student_134,56,89
135,Student_135,50,74
136,Student_136,53,83
137,Student_137,64,80
138,Student_138,84,77
139,Student_139,60,81
140,Student_140,79,98
141,Student_141,83,89
142,Student_142,84,83
143,Student_143,93,56
144,Student_144,50,76
145,Student_145,87,82
146,Student_146,76,51
147,Student_147,83,94
148,Student_148,56,56
149,Student_149,97,71
150,Student_150,60,56
151,Student_151,52,67
152,Student_152,80,64
153,Student_153,59,57
154,Student_154,65,80
155,Student_155,72,56
156,Student_156,65,72
157,Student_157,97,54
158,Student_158,55,96
159,Student_159,93,84
160,Student_160,52,91
161,Student_161,76,89
162,Student_162,89,96
163,Student_163,87,90
164,Student_164,92,96
165,Student_165,59,82
166,Student_166,67,75
167,Student_167,68,98
168,Student_168,81,78
169,Student_169,96,85
170,Student_170,82,81
171,Student_171,72,92
172,Student_172,57,87
173,Student_173,53,92
174,Student_174,60,65
175,Student_175,93,76
176,Student_176,61,68
177,Student_177,99,67
178,Student_178,90,83
179,Student_179,89,82
180,Student_180,57,60
181,Student_181,50,93
182,Student_182,81,88
183,Student_183,71,88
184,Student_184,92,94
185,Student_185,54,63
186,Student_186,50,52
187,Student_187,74,95
188,Student_188,83,99
189,Student_189,61,64
190,Student_190,82,87
191,Student_191,74,50
192,Student_192,85,90
193,Student_193,64,100
194,Student_194,81,68
195,Student_195,60,65
196,Student_196,71,65
197,Student_197,55,82
198,Student_198,90,98
199,Student_199,100,88
200,Student_200,94,95
201,Student_201,54,80
202,Student_202,62,94
203,Student_203,76,55
204,Student_204,64,83
205,Student_205,87,98
206,Student_206,97,58
207,Student_207,86,83
208,Student_208,76,92
209,Student_209,96,71
210,Student_210,97,50
211,Student_211,89,67
212,Student_212,51,86
213,Student_213,91,61
214,Student_214,51,66
215,Student_215,94,83
216,Student_216,54,95
217,Student_217,96,91
218,Student_218,50,70
219,Student_219,69,96
220,Student_220,65,53
221,Student_221,59,88
222,Student_222,88,90
223,Student_223,56,73
224,Student_224,87,90
225,Student_225,74,52
226,Student_226,74,91
227,Student_227,100,60
228,Student_228,91,69
229,Student_229,85,71
230,Student_230,70,65
231,Student_231,64,54
232,Student_232,77,92
233,Student_233,70,99
234,Student_234,89,50
235,Student_235,56,76
236,Student_236,69,82
237,Student_237,82,67
238,Student_238,65,66
239,Student_239,67,95
240,Student_240,63,71
241,Student_241,72,54
242,Student_242,78,62
243,Student_243,54,87
244,Student_244,76,66
245,Student_245,62,79
246,Student_246,97,50
247,Student_247,89,88
248,Student_248,88,80
249,Student_249,61,59
250,Student_250,60,67
